Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,OM_g,OM_%,Percent_water,Sample_dryweight_g,AFDM_g,
GB_3m,GB,3,104,Sed_NA_104,2023-05-25,May,2,2055.4,2.0554,0.025,800,,NO3,800,sediment,6,8:51,15:18,6:27,3,,0.756,,0.756,N,0.137,0.006,0.250,1.54155,0.009374050919,
GB_3m,GB,3,105,Sed_NA_105,2023-05-25,May,3,2146.8,2.1468,0.025,800,,NO3,800,sediment,6,8:51,15:18,6:27,3,,0.586,,0.586,N,0.137,0.006,0.250,1.6101,0.009790898371,
GB_3m,GB,3,106,Sed_NA_106,2023-05-25,May,1,2117.4,2.1174,0.025,1200,,NO3,1200,sediment,6,8:52,15:22,6:30,3,,1.076,,1.076,N,0.137,0.006,0.250,1.58805,0.009656813961,
GB_3m,GB,3,107,Sed_NA_107,2023-05-25,May,2,2163.3,2.1633,0.025,1200,,NO3,1200,sediment,6,8:52,15:22,6:30,3,,1.106,,1.106,N,0.137,0.006,0.250,1.622475,0.009866149826,
GB_3m,GB,3,108,Sed_NA_108,2023-05-25,May,3,2119.7,2.1197,0.025,1200,,NO3,1200,sediment,6,8:52,15:22,6:30,3,,1.161,,1.161,N,0.137,0.006,0.250,1.589775,0.009667303558,
SH_3m,SH,3,109,Sed_NA_109,2023-05-25,May,1,2070.1,2.0701,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.018,,0.018,N,0.092,0.004,0.201,1.6540099,0.00635664741,
SH_3m,SH,3,110,Sed_NA_110,2023-05-25,May,2,2132.8,2.1328,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.017,,0.017,N,0.092,0.004,0.201,1.7041072,0.006549180038,
SH_3m,SH,3,111,Sed_NA_111,2023-05-25,May,3,2089.8,2.0898,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.018,,0.018,N,0.092,0.004,0.201,1.6697502,0.006417140118,
SH_3m,SH,3,112,Sed_NA_112,2023-05-25,May,1,2104.4,2.1044,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.08,,0.08,N,0.092,0.004,0.201,1.6814156,0.006461972277,
SH_3m,SH,3,113,Sed_NA_113,2023-05-25,May,2,2105.2,2.1052,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.083,,0.083,N,0.092,0.004,0.201,1.6820548,0.006464428833,
SH_3m,SH,3,114,Sed_NA_114,2023-05-25,May,3,2029.8,2.0298,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.088,,0.088,N,0.092,0.004,0.201,1.6218102,0.006232898369,
SH_3m,SH,3,115,Sed_NA_115,2023-05-25,May,1,2089.2,2.0892,0.025,200,,NO3,200,sediment,6,8:47,15:09,6:22,2,,0.193,,0.193,N,0.092,0.004,0.201,1.6692708,0.0064152977,
SH_3m,SH,3,116,Sed_NA_116,2023-05-25,May,2,2178.9,2.1789,0.025,200,,NO3,200,sediment,6,8:47,15:09,6:22,2,,0.177,,0.177,N,0.092,0.004,0.201,1.7409411,0.006690739115,
