Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,Percent_water,Sample_dryweight_g,
GB_10m,GB,10,131,Sed_NA_131,2023-05-25,May,2,2145.8,2.1458,0.025,100,,NO3,100,sediment,6,8:44,15:05,6:21,2,,0.087,,0.087,N,0.286,1.5321012,
GB_10m,GB,10,132,Sed_NA_132,2023-05-25,May,3,2012.3,2.0123,0.025,100,,NO3,100,sediment,6,8:44,15:05,6:21,2,,0.073,,0.073,N,0.286,1.4367822,
GB_10m,GB,10,133,Sed_NA_133,2023-05-25,May,1,2081.5,2.0815,0.025,200,,NO3,200,sediment,6,8:46,15:08,6:22,2,,0.173,,0.173,N,0.286,1.486191,
GB_10m,GB,10,134,Sed_NA_134,2023-05-25,May,2,2131.7,2.1317,0.025,200,,NO3,200,sediment,6,8:46,15:08,6:22,2,,0.179,,0.179,N,0.286,1.5220338,
GB_10m,GB,10,135,Sed_NA_135,2023-05-25,May,3,2107.9,2.1079,0.025,200,,NO3,200,sediment,6,8:47,15:08,6:21,2,,0.174,,0.174,N,0.286,1.5050406,
GB_10m,GB,10,136,Sed_NA_136,2023-05-25,May,1,2191.7,2.1917,0.025,500,,NO3,500,sediment,6,8:48,15:13,6:25,3,,0.453,,0.453,N,0.286,1.5648738,
GB_10m,GB,10,137,Sed_NA_137,2023-05-25,May,2,2072,2.072,0.025,500,,NO3,500,sediment,6,8:48,15:13,6:25,3,,0.463,,0.463,N,0.286,1.479408,
GB_10m,GB,10,138,Sed_NA_138,2023-05-25,May,3,1995.7,1.9957,0.025,500,,NO3,500,sediment,6,8:48,15:13,6:25,3,,0.463,,0.463,N,0.286,1.4249298,
GB_10m,GB,10,139,Sed_NA_139,2023-05-25,May,1,2046.5,2.0465,0.025,800,,NO3,800,sediment,6,8:50,15:17,6:27,3,,0.779,,0.779,N,0.286,1.461201,
GB_10m,GB,10,140,Sed_NA_140,2023-05-25,May,2,2056.8,2.0568,0.025,800,,NO3,800,sediment,6,8:50,15:17,6:27,3,,0.468,,0.468,N,0.286,1.4685552,
GB_10m,GB,10,141,Sed_NA_141,2023-05-25,May,3,2045,2.045,0.025,800,,NO3,800,sediment,6,8:50,15:17,6:27,3,,0.776,,0.776,N,0.286,1.46013,
GB_10m,GB,10,142,Sed_NA_142,2023-05-25,May,1,2019.6,2.0196,0.025,1200,,NO3,1200,sediment,6,8:51,15:21,6:30,3,,1.178,,1.178,N,0.286,1.4419944,
GB_10m,GB,10,143,Sed_NA_143,2023-05-25,May,2,2173.7,2.1737,0.025,1200,,NO3,1200,sediment,6,8:52,15:21,6:29,3,,1.189,,1.189,N,0.286,1.5520218,
GB_10m,GB,10,144,Sed_NA_144,2023-05-25,May,3,2183.5,2.1835,0.025,1200,,NO3,1200,sediment,6,8:52,15:21,6:29,3,,1.124,,1.124,N,0.286,1.559019,
BW0.5m,BW,0.5,145,Biofilm_NA_1,2023-05-24,May,1,2000,2,0.025,0,,NO3,0,biofilm,6,8:54,15:27,6:33,4,,0.003,,0.003,N,,,
BW0.5m,BW,0.5,146,Biofilm_NA_2,2023-05-24,May,2,2020,2.02,0.025,0,,NO3,0,biofilm,6,8:54,15:27,6:33,4,,-0.004,,-0.004,N,,,
BW0.5m,BW,0.5,147,Biofilm_NA_3,2023-05-24,May,3,2020,2.02,0.025,0,,NO3,0,biofilm,6,8:54,15:27,6:33,4,,-0.002,,-0.002,N,,,
BW0.5m,BW,0.5,148,Biofilm_NA_4,2023-05-24,May,1,2000,2,0.025,100,,NO3,100,biofilm,6,8:55,15:27,6:32,4,,0,,0,N,,,
BW0.5m,BW,0.5,149,Biofilm_NA_5,2023-05-24,May,2,2060,2.06,0.025,100,,NO3,100,biofilm,6,8:55,15:27,6:32,4,,0.004,,0.004,N,,,
BW0.5m,BW,0.5,150,Biofilm_NA_6,2023-05-24,May,3,2040,2.04,0.025,100,,NO3,100,biofilm,6,8:55,15:27,6:32,4,,-0.001,,-0.001,N,,,
BW0.5m,BW,0.5,151,Biofilm_NA_7,2023-05-24,May,1,2030,2.03,0.025,200,,NO3,200,biofilm,6,8:56,15:31,6:35,4,,0.039,,0.039,N,,,
BW0.5m,BW,0.5,152,Biofilm_NA_8,2023-05-24,May,2,2040,2.04,0.025,200,,NO3,200,biofilm,6,8:56,15:31,6:35,4,,0.06,,0.06,N,,,
BW0.5m,BW,0.5,153,Biofilm_NA_9,2023-05-24,May,3,2010,2.01,0.025,200,,NO3,200,biofilm,6,8:56,15:31,6:35,4,,0.038,,0.038,N,,,
BW0.5m,BW,0.5,154,Biofilm_NA_10,2023-05-24,May,1,2040,2.04,0.025,500,,NO3,500,biofilm,6,8:58,15:32,6:34,4,,0.217,,0.217,N,,,
BW0.5m,BW,0.5,155,Biofilm_NA_11,2023-05-24,May,2,2050,2.05,0.025,500,,NO3,500,biofilm,6,8:58,15:32,6:34,4,,0.243,,0.243,N,,,
BW0.5m,BW,0.5,156,Biofilm_NA_12,2023-05-24,May,3,2020,2.02,0.025,500,,NO3,500,biofilm,6,8:58,15:32,6:34,4,,0.236,,0.236,N,,,
BW0.5m,BW,0.5,157,Biofilm_NA_13,2023-05-24,May,1,2080,2.08,0.025,800,,NO3,800,biofilm,6,8:59,15:39,6:40,4,,0.556,,0.556,N,,,
BW0.5m,BW,0.5,158,Biofilm_NA_14,2023-05-24,May,2,2050,2.05,0.025,800,,NO3,800,biofilm,6,8:59,15:39,6:40,4,,0.378,,0.378,N,,,
BW0.5m,BW,0.5,159,Biofilm_NA_15,2023-05-24,May,3,2050,2.05,0.025,800,,NO3,800,biofilm,6,8:59,15:39,6:40,4,,0.544,,0.544,N,,,
BW0.5m,BW,0.5,160,Biofilm_NA_16,2023-05-24,May,1,2060,2.06,0.025,1200,,NO3,1200,biofilm,6,9:01,15:44,6:43,5,,0.878,,0.878,N,,,
BW0.5m,BW,0.5,161,Biofilm_NA_17,2023-05-24,May,2,2000,2,0.025,1200,,NO3,1200,biofilm,6,9:01,15:44,6:43,5,,0.845,,0.845,N,,,
BW0.5m,BW,0.5,162,Biofilm_NA_18,2023-05-24,May,3,2030,2.03,0.025,1200,,NO3,1200,biofilm,6,9:01,15:44,6:43,5,,0.908,,0.908,N,,,
GB0.5m,GB,0.5,163,Biofilm_NA_19,2023-05-25,May,1,2000,2,0.025,0,,NO3,0,biofilm,6,8:54,15:25,6:31,3,,0.033,,0.033,N,,,
GB0.5m,GB,0.5,164,Biofilm_NA_20,2023-05-25,May,2,2030,2.03,0.025,0,,NO3,0,biofilm,6,8:54,15:25,6:31,3,,0.022,,0.022,N,,,
GB0.5m,GB,0.5,165,Biofilm_NA_21,2023-05-25,May,3,2070,2.07,0.025,0,,NO3,0,biofilm,6,8:54,15:25,6:31,3,,0.016,,0.016,N,,,
GB0.5m,GB,0.5,166,Biofilm_NA_22,2023-05-25,May,1,2020,2.02,0.025,100,,NO3,100,biofilm,6,8:55,15:26,6:31,3,,0.121,,0.121,N,,,
GB0.5m,GB,0.5,167,Biofilm_NA_23,2023-05-25,May,2,2050,2.05,0.025,100,,NO3,100,biofilm,6,8:55,15:26,6:31,3,,0.117,,0.117,N,,,
GB0.5m,GB,0.5,168,Biofilm_NA_24,2023-05-25,May,3,2000,2,0.025,100,,NO3,100,biofilm,6,8:55,15:26,6:31,3,,0.1,,0.1,N,,,
GB0.5m,GB,0.5,169,Biofilm_NA_25,2023-05-25,May,1,2000,2,0.025,200,,NO3,200,biofilm,6,8:57,15:33,6:36,4,,0.205,,0.205,N,,,
GB0.5m,GB,0.5,170,Biofilm_NA_26,2023-05-25,May,2,1980,1.98,0.025,200,,NO3,200,biofilm,6,8:57,15:33,6:36,4,,0.232,,0.232,N,,,
GB0.5m,GB,0.5,171,Biofilm_NA_27,2023-05-25,May,3,1990,1.99,0.025,200,,NO3,200,biofilm,6,8:57,15:33,6:36,4,,0.061,,0.061,N,,,
GB0.5m,GB,0.5,172,Biofilm_NA_28,2023-05-25,May,1,1970,1.97,0.025,500,,NO3,500,biofilm,6,8:58,15:35,6:37,4,,0.403,,0.403,N,,,
GB0.5m,GB,0.5,173,Biofilm_NA_29,2023-05-25,May,2,2060,2.06,0.025,500,,NO3,500,biofilm,6,8:58,15:35,6:37,4,,0.523,,0.523,N,,,
GB0.5m,GB,0.5,174,Biofilm_NA_30,2023-05-25,May,3,1960,1.96,0.025,500,,NO3,500,biofilm,6,8:58,15:35,6:37,4,,0.499,,0.499,N,,,
GB0.5m,GB,0.5,175,Biofilm_NA_31,2023-05-25,May,1,1910,1.91,0.025,800,,NO3,800,biofilm,6,9:00,15:42,6:42,4,,0.79,,0.79,N,,,
GB0.5m,GB,0.5,176,Biofilm_NA_32,2023-05-25,May,2,1990,1.99,0.025,800,,NO3,800,biofilm,6,9:00,15:42,6:42,4,,0.767,,0.767,N,,,
GB0.5m,GB,0.5,177,Biofilm_NA_33,2023-05-25,May,3,1990,1.99,0.025,800,,NO3,800,biofilm,6,9:00,15:42,6:42,4,,0.764,,0.764,N,,,
GB0.5m,GB,0.5,178,Biofilm_NA_34,2023-05-25,May,1,1960,1.96,0.025,1200,,NO3,1200,biofilm,6,9:01,15:44,6:43,5,,1.089,,1.089,N,,,
GB0.5m,GB,0.5,179,Biofilm_NA_35,2023-05-25,May,2,1990,1.99,0.025,1200,,NO3,1200,biofilm,6,9:02,15:44,6:42,5,,0.879,,0.879,N,,,
GB0.5m,GB,0.5,180,Biofilm_NA_36,2023-05-25,May,3,2010,2.01,0.025,1200,,NO3,1200,biofilm,6,9:02,15:44,6:42,5,,1.106,,1.106,N,,,
BW_3m,BW,3,181,Water_NA_1,2023-05-25,May,1,,,0.025,0,,NO3,0,water,6,8:54,15:25,6:31,3,,0.044,,0.044,N,,,
BW_3m,BW,3,182,Water_NA_2,2023-05-25,May,2,,,0.025,0,,NO3,0,water,6,8:54,15:25,6:31,3,,0.024,,0.024,N,,,
BW_3m,BW,3,183,Water_NA_3,2023-05-25,May,3,,,0.025,0,,NO3,0,water,6,8:54,15:25,6:31,3,,0.025,,0.025,N,,,
BW_3m,BW,3,184,Water_NA_4,2023-05-25,May,1,,,0.025,100,,NO3,100,water,6,8:55,15:28,6:33,4,,0.124,,0.124,N,,,
BW_3m,BW,3,185,Water_NA_5,2023-05-25,May,2,,,0.025,100,,NO3,100,water,6,8:55,15:28,6:33,4,,0.131,,0.131,N,,,
BW_3m,BW,3,186,Water_NA_6,2023-05-25,May,3,,,0.025,100,,NO3,100,water,6,8:55,15:28,6:33,4,,0.128,,0.128,N,,,
BW_3m,BW,3,187,Water_NA_7,2023-05-25,May,1,,,0.025,200,,NO3,200,water,6,8:57,15:33,6:36,4,,0.241,,0.241,N,,,
BW_3m,BW,3,188,Water_NA_8,2023-05-25,May,2,,,0.025,200,,NO3,200,water,6,8:57,15:33,6:36,4,,0.238,,0.238,N,,,
BW_3m,BW,3,189,Water_NA_9,2023-05-25,May,3,,,0.025,200,,NO3,200,water,6,8:57,15:33,6:36,4,,0.247,,0.247,N,,,
BW_3m,BW,3,190,Water_NA_10,2023-05-25,May,1,,,0.025,500,,NO3,500,water,6,8:59,15:36,6:37,4,,0.294,,0.294,N,,,
BW_3m,BW,3,191,Water_NA_11,2023-05-25,May,2,,,0.025,500,,NO3,500,water,6,8:59,15:36,6:37,4,,0.567,,0.567,N,,,
BW_3m,BW,3,192,Water_NA_12,2023-05-25,May,3,,,0.025,500,,NO3,500,water,6,8:59,15:36,6:37,4,,0.5,,0.5,N,,,
BW_3m,BW,3,193,Water_NA_13,2023-05-25,May,1,,,0.025,800,,NO3,800,water,6,9:00,15:39,6:39,4,,0.773,,0.773,N,,,
BW_3m,BW,3,194,Water_NA_14,2023-05-25,May,2,,,0.025,800,,NO3,800,water,6,9:00,15:39,6:39,4,,0.817,,0.817,N,,,
BW_3m,BW,3,195,Water_NA_15,2023-05-25,May,3,,,0.025,800,,NO3,800,water,6,9:00,15:39,6:39,4,,0.814,,0.814,N,,,
BW_3m,BW,3,196,Water_NA_16,2023-05-25,May,1,,,0.025,1200,,NO3,1200,water,6,9:02,15:46,6:44,5,,1.267,,1.267,N,,,
BW_3m,BW,3,197,Water_NA_17,2023-05-25,May,2,,,0.025,1200,,NO3,1200,water,6,9:02,15:46,6:44,5,,1.181,,1.181,N,,,
BW_3m,BW,3,198,Water_NA_18,2023-05-25,May,3,,,0.025,1200,,NO3,1200,water,6,9:02,15:46,6:44,5,,1.313,,1.313,N,,,
GB_3m,GB,3,199,Water_NA_19,2023-05-25,May,1,,,0.025,0,,NO3,0,water,6,8:54,15:23,6:29,3,,0.027,,0.027,N,,,
GB_3m,GB,3,200,Water_NA_20,2023-05-25,May,2,,,0.025,0,,NO3,0,water,6,8:54,15:23,6:29,3,,0.024,,0.024,N,,,
GB_3m,GB,3,201,Water_NA_21,2023-05-25,May,3,,,0.025,0,,NO3,0,water,6,8:54,15:23,6:29,3,,0.023,,0.023,N,,,
GB_3m,GB,3,202,Water_NA_22,2023-05-25,May,1,,,0.025,100,,NO3,100,water,6,8:55,15:31,6:36,4,,0.117,,0.117,N,,,
GB_3m,GB,3,203,Water_NA_23,2023-05-25,May,2,,,0.025,100,,NO3,100,water,6,8:56,15:31,6:35,4,,0.131,,0.131,N,,,
GB_3m,GB,3,204,Water_NA_24,2023-05-25,May,3,,,0.025,100,,NO3,100,water,6,8:56,15:31,6:35,4,,0.112,,0.112,N,,,
GB_3m,GB,3,205,Water_NA_25,2023-05-25,May,1,,,0.025,200,,NO3,200,water,6,8:57,15:34,6:37,4,,0.237,,0.237,N,,,
GB_3m,GB,3,206,Water_NA_26,2023-05-25,May,2,,,0.025,200,,NO3,200,water,6,8:57,15:34,6:37,4,,0.206,,0.206,N,,,
GB_3m,GB,3,207,Water_NA_27,2023-05-25,May,3,,,0.025,200,,NO3,200,water,6,8:57,15:34,6:37,4,,0.232,,0.232,N,,,
GB_3m,GB,3,208,Water_NA_28,2023-05-25,May,1,,,0.025,500,,NO3,500,water,6,8:59,15:38,6:39,4,,0.524,,0.524,N,,,
GB_3m,GB,3,209,Water_NA_29,2023-05-25,May,2,,,0.025,500,,NO3,500,water,6,8:59,15:38,6:39,4,,0.527,,0.527,N,,,
GB_3m,GB,3,210,Water_NA_30,2023-05-25,May,3,,,0.025,500,,NO3,500,water,6,8:59,15:38,6:39,4,,0.582,,0.582,N,,,
GB_3m,GB,3,211,Water_NA_31,2023-05-25,May,1,,,0.025,800,,NO3,800,water,6,9:00,15:40,6:40,4,no3 looked really low,0.283,,0.283,Y,,,
GB_3m,GB,3,212,Water_NA_32,2023-05-25,May,2,,,0.025,800,,NO3,800,water,6,9:01,15:40,6:39,4,,0.898,,0.898,N,,,
GB_3m,GB,3,213,Water_NA_33,2023-05-25,May,3,,,0.025,800,,NO3,800,water,6,9:01,15:40,6:39,4,,0.818,,0.818,N,,,
GB_3m,GB,3,214,Water_NA_34,2023-05-25,May,1,,,0.025,1200,,NO3,1200,water,6,9:02,15:46,6:44,5,,1.255,,1.255,N,,,
GB_3m,GB,3,215,Water_NA_35,2023-05-25,May,2,,,0.025,1200,,NO3,1200,water,6,9:02,15:46,6:44,5,,1.278,,1.278,N,,,
GB_3m,GB,3,216,Water_NA_36,2023-05-25,May,3,,,0.025,1200,,NO3,1200,water,6,9:02,15:46,6:44,5,,1.218,,1.218,N,,,
BW0.5m,BW,0.5,217,Sed_NA_145,2023-05-24,May,1,2020,2.02,0.025,,0,NH3,0,sediment,6,9:06,15:50,6:44,5,,,0.0231,0.0231,N,0.247,1.521578507,
BW0.5m,BW,0.5,218,Sed_NA_146,2023-05-24,May,2,2090,2.09,0.025,,0,NH3,0,sediment,6,9:06,15:50,6:44,5,"cracked, spilled",,,,,0.247,1.574306475,
BW0.5m,BW,0.5,219,Sed_NA_147,2023-05-24,May,3,2010,2.01,0.025,,0,NH3,0,sediment,6,9:06,15:50,6:44,5,,,0.0101,0.0101,N,0.247,1.51404594,
BW0.5m,BW,0.5,220,Sed_NA_148,2023-05-24,May,1,1960,1.96,0.025,,100,NH3,100,sediment,6,9:08,15:56,6:48,5,,,0.0759,0.0759,N,0.247,1.476383106,
BW0.5m,BW,0.5,221,Sed_NA_149,2023-05-24,May,2,2050,2.05,0.025,,100,NH3,100,sediment,6,9:08,15:56,6:48,5,,,0.097,0.097,N,0.247,1.544176207,
BW0.5m,BW,0.5,222,Sed_NA_150,2023-05-24,May,3,2020,2.02,0.025,,100,NH3,100,sediment,6,9:08,15:56,6:48,5,,,0.076,0.076,N,0.247,1.521578507,
BW0.5m,BW,0.5,223,Sed_NA_151,2023-05-24,May,1,1960,1.96,0.025,,200,NH3,200,sediment,6,9:09,16:02,6:53,5,,,0.1326,0.1326,N,0.247,1.476383106,
BW0.5m,BW,0.5,224,Sed_NA_152,2023-05-24,May,2,2090,2.09,0.025,,200,NH3,200,sediment,6,9:09,16:02,6:53,5,,,0.1318,0.1318,N,0.247,1.574306475,
BW0.5m,BW,0.5,225,Sed_NA_153,2023-05-24,May,3,2080,2.08,0.025,,200,NH3,200,sediment,6,9:09,16:02,6:53,5,,,0.1257,0.1257,N,0.247,1.566773908,
BW0.5m,BW,0.5,226,Sed_NA_154,2023-05-24,May,1,2080,2.08,0.025,,500,NH3,500,sediment,6,9:11,16:06,6:55,6,,,0.3104,0.3104,N,0.247,1.566773908,
BW0.5m,BW,0.5,227,Sed_NA_155,2023-05-24,May,2,2060,2.06,0.025,,500,NH3,500,sediment,6,9:11,16:06,6:55,6,,,0.327,0.327,N,0.247,1.551708774,
BW0.5m,BW,0.5,228,Sed_NA_156,2023-05-24,May,3,2000,2,0.025,,500,NH3,500,sediment,6,9:11,16:06,6:55,6,,,0.3169,0.3169,N,0.247,1.506513373,
BW0.5m,BW,0.5,229,Sed_NA_157,2023-05-24,May,1,1960,1.96,0.025,,800,NH3,800,sediment,6,9:13,16:11,6:58,6,,,0.352,0.352,N,0.247,1.476383106,
BW0.5m,BW,0.5,230,Sed_NA_158,2023-05-24,May,2,2090,2.09,0.025,,800,NH3,800,sediment,6,9:13,16:11,6:58,6,,,0.5378,0.5378,N,0.247,1.574306475,
BW0.5m,BW,0.5,231,Sed_NA_159,2023-05-24,May,3,2010,2.01,0.025,,800,NH3,800,sediment,6,9:13,16:11,6:58,6,,,0.559,0.559,N,0.247,1.51404594,
BW0.5m,BW,0.5,232,Sed_NA_160,2023-05-24,May,1,2070,2.07,0.025,,1200,NH3,1200,sediment,6,9:15,16:13,6:58,6,,,0.8318,0.8318,N,0.247,1.559241341,
BW0.5m,BW,0.5,233,Sed_NA_161,2023-05-24,May,2,2080,2.08,0.025,,1200,NH3,1200,sediment,6,9:15,16:13,6:58,6,,,0.8829,0.8829,N,0.247,1.566773908,
BW0.5m,BW,0.5,234,Sed_NA_162,2023-05-24,May,3,1980,1.98,0.025,,1200,NH3,1200,sediment,6,9:15,16:13,6:58,6,,,0.7895,0.7895,N,0.247,1.491448239,
BW_3m,BW,3,235,Sed_NA_163,2023-05-24,May,1,1940,1.94,0.025,,0,NH3,0,sediment,6,9:06,15:50,6:44,5,,,0.0182,0.0182,N,0.317,1.32502,
BW_3m,BW,3,236,Sed_NA_164,2023-05-24,May,2,2060,2.06,0.025,,0,NH3,0,sediment,6,9:06,15:50,6:44,5,,,0.0221,0.0221,N,0.317,1.40698,
BW_3m,BW,3,237,Sed_NA_165,2023-05-24,May,3,1920,1.92,0.025,,0,NH3,0,sediment,6,9:06,15:50,6:44,5,,,0.0103,0.0103,N,0.317,1.31136,
BW_3m,BW,3,238,Sed_NA_166,2023-05-24,May,1,1990,1.99,0.025,,100,NH3,100,sediment,6,9:07,15:56,6:49,5,,,0.0232,0.0232,N,0.317,1.35917,
BW_3m,BW,3,239,Sed_NA_167,2023-05-24,May,2,2100,2.1,0.025,,100,NH3,100,sediment,6,9:07,15:56,6:49,5,,,0.0098,0.0098,N,0.317,1.4343,
BW_3m,BW,3,240,Sed_NA_168,2023-05-24,May,3,1930,1.93,0.025,,100,NH3,100,sediment,6,9:07,15:56,6:49,5,,,0.0096,0.0096,N,0.317,1.31819,
BW_3m,BW,3,241,Sed_NA_169,2023-05-24,May,1,2070,2.07,0.025,,200,NH3,200,sediment,6,9:09,16:01,6:52,5,,,0.0326,0.0326,N,0.317,1.41381,
BW_3m,BW,3,242,Sed_NA_170,2023-05-24,May,2,2100,2.1,0.025,,200,NH3,200,sediment,6,9:09,16:01,6:52,5,,,0.0348,0.0348,N,0.317,1.4343,
BW_3m,BW,3,243,Sed_NA_171,2023-05-24,May,3,1950,1.95,0.025,,200,NH3,200,sediment,6,9:09,16:01,6:52,5,,,0.0445,0.0445,N,0.317,1.33185,
BW_3m,BW,3,244,Sed_NA_172,2023-05-24,May,1,2080,2.08,0.025,,500,NH3,500,sediment,6,9:10,16:03,6:53,6,,,0.2325,0.2325,N,0.317,1.42064,
BW_3m,BW,3,245,Sed_NA_173,2023-05-24,May,2,2000,2,0.025,,500,NH3,500,sediment,6,9:11,16:03,6:52,6,,,0.31,0.31,N,0.317,1.366,
BW_3m,BW,3,246,Sed_NA_174,2023-05-24,May,3,2000,2,0.025,,500,NH3,500,sediment,6,9:11,16:03,6:52,6,,,0.2409,0.2409,N,0.317,1.366,
BW_3m,BW,3,247,Sed_NA_175,2023-05-24,May,1,2090,2.09,0.025,,800,NH3,800,sediment,6,9:13,15:11,5:58,6,,,0.319,0.319,N,0.317,1.42747,
BW_3m,BW,3,248,Sed_NA_176,2023-05-24,May,2,2090,2.09,0.025,,800,NH3,800,sediment,6,9:13,15:11,5:58,6,,,0.4203,0.4203,N,0.317,1.42747,
BW_3m,BW,3,249,Sed_NA_177,2023-05-24,May,3,2100,2.1,0.025,,800,NH3,800,sediment,6,9:13,15:11,5:58,6,,,0.4213,0.4213,N,0.317,1.4343,
BW_3m,BW,3,250,Sed_NA_178,2023-05-24,May,1,1940,1.94,0.025,,1200,NH3,1200,sediment,6,9:14,16:13,6:59,6,,,0.682,0.682,N,0.317,1.32502,
BW_3m,BW,3,251,Sed_NA_179,2023-05-24,May,2,2030,2.03,0.025,,1200,NH3,1200,sediment,6,9:14,16:13,6:59,6,,,0.734,0.734,N,0.317,1.38649,
BW_3m,BW,3,252,Sed_NA_180,2023-05-24,May,3,2040,2.04,0.025,,1200,NH3,1200,sediment,6,9:14,16:13,6:59,6,,,0.6459,0.6459,N,0.317,1.39332,
SS_3m,SS,3,253,Sed_NA_181,2023-05-24,May,1,2060,2.06,0.025,,0,NH3,0,sediment,6,9:06,15:49,6:43,5,,,0.0116,0.0116,N,0.195,1.6583,
SS_3m,SS,3,254,Sed_NA_182,2023-05-24,May,2,1960,1.96,0.025,,0,NH3,0,sediment,6,9:06,15:49,6:43,5,,,0.0071,0.0071,N,0.195,1.5778,
SS_3m,SS,3,255,Sed_NA_183,2023-05-24,May,3,1900,1.9,0.025,,0,NH3,0,sediment,6,9:06,15:49,6:43,5,,,0.0116,0.0116,N,0.195,1.5295,
SS_3m,SS,3,256,Sed_NA_184,2023-05-24,May,1,2090,2.09,0.025,,100,NH3,100,sediment,6,9:07,15:56,6:49,5,,,0.0183,0.0183,N,0.195,1.68245,
SS_3m,SS,3,257,Sed_NA_185,2023-05-24,May,2,2070,2.07,0.025,,100,NH3,100,sediment,6,9:07,15:56,6:49,5,,,0.0118,0.0118,N,0.195,1.66635,
SS_3m,SS,3,258,Sed_NA_186,2023-05-24,May,3,1970,1.97,0.025,,100,NH3,100,sediment,6,9:07,15:56,6:49,5,,,0.0349,0.0349,N,0.195,1.58585,
SS_3m,SS,3,259,Sed_NA_187,2023-05-24,May,1,2000,2,0.025,,200,NH3,200,sediment,6,9:08,15:59,6:51,5,,,0.0676,0.0676,N,0.195,1.61,
SS_3m,SS,3,260,Sed_NA_188,2023-05-24,May,2,2050,2.05,0.025,,200,NH3,200,sediment,6,9:08,15:59,6:51,5,,,0.0568,0.0568,N,0.195,1.65025,
SS_3m,SS,3,261,Sed_NA_189,2023-05-24,May,3,2050,2.05,0.025,,200,NH3,200,sediment,6,9:08,15:59,6:51,5,,,0.0659,0.0659,N,0.195,1.65025,
SS_3m,SS,3,262,Sed_NA_190,2023-05-24,May,1,1990,1.99,0.025,,500,NH3,500,sediment,6,9:10,16:03,6:53,6,,,0.2717,0.2717,N,0.195,1.60195,
SS_3m,SS,3,263,Sed_NA_191,2023-05-24,May,2,1990,1.99,0.025,,500,NH3,500,sediment,6,9:10,16:03,6:53,6,,,0.3014,0.3014,N,0.195,1.60195,
SS_3m,SS,3,264,Sed_NA_192,2023-05-24,May,3,1980,1.98,0.025,,500,NH3,500,sediment,6,9:10,16:03,6:53,6,,,0.2927,0.2927,N,0.195,1.5939,
SS_3m,SS,3,265,Sed_NA_193,2023-05-24,May,1,2100,2.1,0.025,,800,NH3,800,sediment,6,9:12,16:07,6:55,6,,,0.4821,0.4821,N,0.195,1.6905,
SS_3m,SS,3,266,Sed_NA_194,2023-05-24,May,2,2070,2.07,0.025,,800,NH3,800,sediment,6,9:12,16:07,6:55,6,"Large Rock, dont shake",,0.4664,0.4664,N,0.195,1.66635,
SS_3m,SS,3,267,Sed_NA_195,2023-05-24,May,3,1990,1.99,0.025,,800,NH3,800,sediment,6,9:12,16:07,6:55,6,,,0.5157,0.5157,N,0.195,1.60195,
SS_3m,SS,3,268,Sed_NA_196,2023-05-24,May,1,2080,2.08,0.025,,1200,NH3,1200,sediment,6,9:14,16:12,6:58,6,,,0.759,0.759,N,0.195,1.6744,
SS_3m,SS,3,269,Sed_NA_197,2023-05-24,May,2,2060,2.06,0.025,,1200,NH3,1200,sediment,6,9:14,16:12,6:58,6,,,0.7658,0.7658,N,0.195,1.6583,
SS_3m,SS,3,270,Sed_NA_198,2023-05-24,May,3,2040,2.04,0.025,,1200,NH3,1200,sediment,6,9:14,16:12,6:58,6,,,0.7516,0.7516,N,0.195,1.6422,
BW_10m,BW,10,271,Sed_NA_199,2023-05-24,May,1,2110,2.11,0.025,,0,NH3,0,sediment,6,9:06,15:39,6:33,5,,,0.0088,0.0088,N,0.394,1.27866,
BW_10m,BW,10,272,Sed_NA_200,2023-05-24,May,2,2070,2.07,0.025,,0,NH3,0,sediment,6,9:06,15:39,6:33,5,,,0.0152,0.0152,N,0.394,1.25442,
BW_10m,BW,10,273,Sed_NA_201,2023-05-24,May,3,1940,1.94,0.025,,0,NH3,0,sediment,6,9:06,15:39,6:33,5,,,0.0091,0.0091,N,0.394,1.17564,
BW_10m,BW,10,274,Sed_NA_202,2023-05-24,May,1,2160,2.16,0.025,,100,NH3,100,sediment,6,9:07,15:51,6:44,5,,,0.0064,0.0064,N,0.394,1.30896,
BW_10m,BW,10,275,Sed_NA_203,2023-05-24,May,2,1900,1.9,0.025,,100,NH3,100,sediment,6,9:07,15:51,6:44,5,,,0.0163,0.0163,N,0.394,1.1514,
BW_10m,BW,10,276,Sed_NA_204,2023-05-24,May,3,2020,2.02,0.025,,100,NH3,100,sediment,6,9:07,15:51,6:44,5,,,0.0088,0.0088,N,0.394,1.22412,
BW_10m,BW,10,277,Sed_NA_205,2023-05-24,May,1,2190,2.19,0.025,,200,NH3,200,sediment,6,9:08,15:57,6:49,5,,,0.0068,0.0068,N,0.394,1.32714,
BW_10m,BW,10,278,Sed_NA_206,2023-05-24,May,2,1930,1.93,0.025,,200,NH3,200,sediment,6,9:08,15:57,6:49,5,,,0.0086,0.0086,N,0.394,1.16958,
